epoch,batch,iteration,update,loss_discriminator,D(x),loss_generator,D(G(z)),D_up(G(z)),checkpoint,MS-SWD,LoS,sampling
1,1,1,1,3.8576812744140625,-3.7109375,2.164487361907959,-2.044921875,-2.04296875,True,0.1890065,0.5050271,True
1,2,2,1,3.8101675510406494,-3.662109375,2.15313458442688,-2.03125,-2.029296875,False,,,False
1,3,3,1,3.850703477859497,-3.673828125,1.9664069414138794,-1.81640625,-1.8154296875,False,,,False
1,4,4,1,3.7292537689208984,-3.634765625,2.7195611000061035,-2.65234375,-2.650390625,False,,,False
1,5,5,1,3.7141103744506836,-3.6015625,1.097886323928833,-2.423828125,-0.68017578125,False,,,False
1,6,6,1,1.8555595874786377,-0.94921875,0.407576322555542,-0.2451171875,0.69970703125,False,,,False
1,7,7,1,1.7217200994491577,0.83544921875,0.759818971157074,1.0625,-0.129150390625,False,,,False
1,8,8,1,1.4368302822113037,-0.126220703125,0.48862093687057495,-0.0298309326171875,0.462158203125,False,,,False
1,9,9,1,1.3490244150161743,1.201171875,0.9380001425743103,0.673828125,-0.438720703125,False,,,False
1,10,10,1,1.5352885723114014,-0.09130859375,0.40344691276550293,0.186767578125,0.70166015625,False,,,False
1,11,11,1,1.4555673599243164,1.513671875,0.7126323580741882,0.92138671875,-0.032958984375,False,,,False
1,12,12,1,1.2025156021118164,0.2568359375,0.5986142754554749,-0.134033203125,0.2012939453125,False,,,False
1,13,13,1,1.39238440990448,1.056640625,0.6639434695243835,0.685546875,0.059967041015625,False,,,False
1,14,14,1,1.3748273849487305,0.2271728515625,0.4891495108604431,0.1795654296875,0.463623046875,False,,,False
1,15,15,1,1.5555994510650635,1.9658203125,1.6537377834320068,1.1455078125,-1.4267578125,False,,,False
1,16,16,1,1.7773065567016602,-1.21875,0.25200045108795166,-1.060546875,1.2548828125,False,,,False
1,17,17,1,1.9039483070373535,3.03515625,0.933036208152771,1.685546875,-0.431884765625,False,,,False
1,18,18,1,1.2312629222869873,-0.2183837890625,0.45175689458847046,-0.6484375,0.56640625,False,,,False
1,19,19,1,1.4263468980789185,1.8779296875,1.002068042755127,0.95849609375,-0.5390625,False,,,False
1,20,20,1,1.3775062561035156,-0.253173828125,0.6343600749969482,-0.316650390625,0.1295166015625,False,,,False
1,21,21,1,1.6057573556900024,1.6220703125,1.5539958477020264,1.1474609375,-1.3125,False,,,False
1,22,22,1,1.877507209777832,-1.2138671875,0.24968895316123962,-0.70361328125,1.2666015625,False,,,False
1,23,23,1,1.9385708570480347,2.005859375,0.8177205324172974,1.6318359375,-0.2352294921875,False,,,False
1,24,24,1,1.554389238357544,-0.488525390625,0.36317354440689087,-0.2255859375,0.82861328125,False,,,False
1,25,25,1,1.573744297027588,1.2119140625,0.7925523519515991,0.998046875,-0.1895751953125,False,,,False
1,26,26,1,1.5052720308303833,-0.36376953125,0.3823533356189728,-0.166259765625,0.7666015625,False,,,False
1,27,27,1,1.4757999181747437,1.16796875,0.8243656158447266,0.84716796875,-0.2470703125,False,,,False
1,28,28,1,1.43812894821167,-0.2646484375,0.39557820558547974,-0.187744140625,0.72509765625,False,,,False
1,29,29,1,1.4725770950317383,1.08984375,0.9224816560745239,0.8154296875,-0.41552734375,False,,,False
1,30,30,1,1.5036516189575195,-0.47802734375,0.339935302734375,-0.32763671875,0.90625,False,,,False
1,31,31,1,1.5559133291244507,1.4052734375,1.015485405921936,1.03125,-0.5654296875,False,,,False
1,32,32,1,1.5745000839233398,-0.6572265625,0.31022876501083374,-0.43505859375,1.01953125,False,,,False
1,33,33,1,1.6767020225524902,1.6396484375,0.979811429977417,1.2451171875,-0.5087890625,False,,,False
1,34,34,1,1.598057508468628,-0.6494140625,0.33213332295417786,-0.36279296875,0.9365234375,False,,,False
1,35,35,1,1.6015503406524658,1.384765625,0.8740500211715698,1.0869140625,-0.33349609375,False,,,False
1,36,36,1,1.5130072832107544,-0.46630859375,0.3606101870536804,-0.28857421875,0.83935546875,False,,,False
1,37,37,1,1.5983874797821045,1.3603515625,0.906421422958374,1.076171875,-0.388671875,False,,,False
1,38,38,1,1.5349469184875488,-0.52490234375,0.355563759803772,-0.322021484375,0.85205078125,False,,,False
1,39,39,1,1.5685338973999023,1.2353515625,0.8597873449325562,0.9990234375,-0.30908203125,False,,,False
1,40,40,1,1.536386489868164,-0.468017578125,0.3588030934333801,-0.236328125,0.8408203125,False,,,False
1,41,41,1,1.5122039318084717,1.16796875,0.8191673159599304,0.8994140625,-0.237548828125,False,,,False
1,42,42,1,1.4853124618530273,-0.324951171875,0.3812926709651947,-0.1597900390625,0.7685546875,False,,,False
1,43,43,1,1.4841842651367188,1.1005859375,0.8460068702697754,0.83642578125,-0.285400390625,False,,,False
1,44,44,1,1.4759736061096191,-0.37353515625,0.3625330328941345,-0.2442626953125,0.82861328125,False,,,False
1,45,45,1,1.5311285257339478,1.2373046875,0.9531295895576477,0.9482421875,-0.4658203125,False,,,False
1,46,46,1,1.5199763774871826,-0.5595703125,0.3462385833263397,-0.412109375,0.88330078125,False,,,False
1,47,47,1,1.5570236444473267,1.4111328125,0.9713672995567322,1.0341796875,-0.4951171875,False,,,False
1,48,48,1,1.5068058967590332,-0.55029296875,0.3461654782295227,-0.430419921875,0.88427734375,False,,,False
1,49,49,1,1.5289372205734253,1.4326171875,0.9965664148330688,1.001953125,-0.53564453125,False,,,False
1,50,50,1,1.4702081680297852,-0.52978515625,0.37253135442733765,-0.4921875,0.796875,False,,,False
1,51,51,1,1.5124928951263428,1.470703125,0.9964553117752075,0.9892578125,-0.53564453125,False,,,False
1,52,52,1,1.4753944873809814,-0.51953125,0.3665856420993805,-0.46142578125,0.81494140625,False,,,False
1,53,53,1,1.4904025793075562,1.328125,0.9544916152954102,0.91796875,-0.46826171875,False,,,False
1,54,54,1,1.4290757179260254,-0.406494140625,0.39650383591651917,-0.403076171875,0.7216796875,False,,,False
1,55,55,1,1.4531221389770508,1.294921875,0.9873394966125488,0.8564453125,-0.52099609375,False,,,False
1,56,56,1,1.4344635009765625,-0.445068359375,0.3783019185066223,-0.448486328125,0.7783203125,False,,,False
1,57,57,1,1.4550104141235352,1.32421875,0.9534355998039246,0.86767578125,-0.466552734375,False,,,False
1,58,58,1,1.4178078174591064,-0.359375,0.39714348316192627,-0.36083984375,0.71923828125,False,,,False
1,59,59,1,1.451908826828003,1.232421875,0.9295278787612915,0.8349609375,-0.427001953125,False,,,False
1,60,60,1,1.393978476524353,-0.33251953125,0.40071868896484375,-0.381103515625,0.7099609375,False,,,False
1,61,61,1,1.4270777702331543,1.2646484375,0.8986644744873047,0.81005859375,-0.3759765625,False,,,False
